"id","name","description","created_at"
1,"Community A","Description A","2024-10-02T21:30:23.129Z"
2,"Community B","Description B","2024-10-02T21:30:23.129Z"
3,"Community C","Description C","2024-10-02T21:30:23.129Z"
4,"Community D","Description D","2024-10-02T21:30:23.129Z"
5,"Community E","Description E","2024-10-02T21:30:23.129Z"
6,"Community F","Description F","2024-10-02T21:30:23.129Z"
7,"Community G","Description G","2024-10-02T21:30:23.129Z"
8,"Community H","Description H","2024-10-02T21:30:23.129Z"
9,"Community I","Description I","2024-10-02T21:30:23.129Z"
10,"Community J","Description J","2024-10-02T21:30:23.129Z"
11,"Community K","Description K","2024-10-02T21:30:39.729Z"
12,"Community K","Description K","2024-10-02T21:32:38.938Z"
13,"Community K","Description K","2024-10-02T21:32:54.008Z"
14,"Community K","Description K","2024-10-02T21:53:23.837Z"
15,"Mock Community","This is a mock community","2024-10-02T22:44:32.587Z"
16,"Mock Community","This is a mock community","2024-10-02T22:44:40.515Z"
17,"Mock Community","This is a mock community","2024-10-02T22:44:49.524Z"
18,"New Community","This is a description of the new community.","2024-10-02T22:45:52.057Z"
19,"New Community","This is a description of the new community.","2024-10-02T22:46:48.591Z"
20,"Mock Community","This is a mock community","2024-10-02T22:46:58.903Z"
21,"Mock Community","This is a mock community","2024-10-02T22:47:13.471Z"
22,"Mock Community","This is a mock community","2024-10-02T22:47:25.637Z"
23,"Mock Community","This is a mock community","2024-10-02T22:47:31.079Z"
24,"Community K","Description K","2024-10-02T22:51:59.190Z"
